frame_idx,x,y
531,744,401
532,744,397
533,745,398
534,745,395
535,745,395
536,745,397
537,742,399
538,741,399
539,738,400
540,738,400
541,738,400
542,735,399
543,661,406
544,638,462
545,634,463
546,631,466
547,629,466
548,631,466
549,637,455
550,646,456
551,665,452
552,761,416
553,761,408
554,759,406
555,555,432
556,556,476
557,558,497
558,559,498
559,531,492
560,275,504
561,246,559
562,255,569
563,262,572
564,266,572
565,267,572
566,274,572
567,291,573
568,340,857
569,362,932
570,390,920
571,409,900
572,416,873
573,360,935
574,359,972
575,384,932
576,395,921
577,434,881
578,447,874
579,503,840
580,533,816
581,552,793
582,575,780
583,613,661
584,660,625
585,662,611
586,648,609
587,662,593
588,663,592
589,751,615
590,746,619
591,736,627
592,734,633
593,723,650
594,588,666
595,571,688
596,563,703
597,555,713
598,550,726
599,548,731
600,634,748
601,634,780
602,605,791
603,669,733
604,760,327
605,723,354
606,638,346
607,343,365
608,338,387
609,806,389
610,789,375
611,782,372
612,782,323
613,659,295
614,545,354
615,546,379
616,547,402
617,547,415
618,340,405
619,309,404
620,525,414
621,319,425
622,317,474
623,342,491
624,354,473
625,365,468
626,368,468
627,366,465
628,817,369
629,815,336
630,812,334
631,861,296
632,861,293
633,860,291
634,858,292
635,855,293
636,847,294
637,836,295
638,738,416
639,737,416
640,771,408
641,780,381
642,777,381
643,774,388
644,773,389
645,772,393
646,674,443
647,760,436
648,775,412
649,776,401
650,776,397
651,772,398
652,819,333
653,818,334
654,711,415
655,710,416
656,709,415
657,708,415
658,708,414
659,707,413
660,707,413
661,707,413
662,706,414
663,706,415
664,705,416
665,704,416
666,702,421
667,704,426
668,701,447
669,700,454
670,700,452
671,697,453
672,697,453
673,696,452
674,696,450
675,696,449
676,696,448
677,697,448
678,697,448
679,697,448
680,698,449
681,698,450
682,699,451
683,699,452
684,699,452
685,699,453
686,699,454
687,698,455
688,698,456
689,697,459
690,698,464
691,698,464
692,766,417
693,767,411
694,772,421
695,778,440
696,782,429
697,791,410
698,727,400
699,502,506
700,528,720
701,609,816
702,668,804
703,743,783
704,641,779
705,812,784
706,754,783
707,865,785
708,886,785
709,887,785
710,887,785
711,887,785
712,887,785
713,820,699
714,826,383
715,691,366
716,715,384
717,862,370
718,862,370
719,889,353
720,810,332
721,809,332
722,802,329
723,790,326
724,781,327
725,780,327
726,769,334
727,747,342
728,736,351
729,729,354
730,727,354
731,723,356
732,721,358
733,733,381
734,733,381
735,733,382
736,458,436
737,461,457
738,421,466
739,424,468
740,193,540
741,169,539
742,169,539
743,161,553
744,159,563
745,795,549
746,713,385
747,710,378
748,712,355
749,714,344
750,714,345
751,715,346
752,679,384
753,601,437
754,601,510
755,601,516
756,660,502
757,669,488
758,358,551
759,371,578
760,379,590
761,420,599
762,630,524
763,620,499
764,704,521
765,733,479
766,730,452
767,722,448
768,721,446
769,719,444
770,717,438
771,715,434
772,684,444
773,674,485
774,673,510
775,672,536
776,673,534
777,676,530
778,679,530
779,693,514
780,718,427
781,727,396
782,729,390
783,729,388
784,695,383
785,665,440
786,664,425
787,668,425
788,726,376
789,725,380
790,725,381
791,726,380
792,727,380
793,728,381
794,373,441
795,379,502
796,378,537
797,375,550
798,371,546
799,331,539
800,328,540
801,324,541
802,321,541
803,320,541
804,320,545
805,320,548
806,322,550
807,325,552
808,327,554
809,361,560
810,385,547
811,440,498
812,459,474
813,479,460
814,487,451
